n 425, BTC size 425
9.28556, 6.95336e-310
9.30926, 6.95336e-310
9.33296, 6.95336e-310
9.35667, 6.95336e-310
9.38037, 6.95336e-310
9.40407, 6.95336e-310
9.42778, 6.95336e-310
9.45148, 6.95336e-310
9.47519, 6.95336e-310
9.49889, 6.95336e-310
9.52259, 6.95336e-310
9.5463, 6.95336e-310
9.57, 6.95336e-310
9.5937, 6.95336e-310
9.61741, 6.95336e-310
9.64111, 6.95336e-310
9.66481, 6.95336e-310
9.68852, 6.95336e-310
9.71222, 6.95336e-310
9.73593, 6.95336e-310
9.75963, 6.95336e-310
9.78333, 6.95336e-310
9.80704, 6.95336e-310
9.83074, 6.95336e-310
9.85444, 6.95336e-310
9.87815, 6.95336e-310
9.90185, 6.95336e-310
9.92556, 6.95336e-310
9.94926, 6.95336e-310
9.97296, 6.95336e-310
9.99667, 6.95336e-310
10.0204, 6.95336e-310
10.0441, 6.95336e-310
